station,rain_mm
Villagrande Strisaili RU,512.3
Urzulei Genna Silana,437.0
Seui RU,368.8
Urzulei RU,328.3
Ussassai RU,327.1
Arzana RU,285.2
Orgosolo Monte Novo,257.2
Tertenia RF,211.4
Baunei RF,205.6
Sadali RU,184.4
Siliqua Campanasissa,125.2
Osidda RF,118.6
Dorgali Monte Tului,92.0
Iglesias RF,57.4
Iglesias San Michele,49.0
Diga Genna Is Abis,48.4
Siliqua RU,47.2
Diga Punta Gennarta,43.6
